p_name|p_bookID|p_authname|p_date
Vintage International|703|Philip Roth|9/27/2005
Dey Street Books|707|Jon   Stewart|9/22/1999
Harper Perennial Modern Classics|759|Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein|5/13/2008
Vintage Espanol|762|Gabriel García Márquez|10/14/2003
Plaza y Janes|763|Gabriel García Márquez|2/7/2006
Plaza y Janes|764|Gabriel García Márquez|2/7/2006
Vintage|765|Gabriel García Márquez/Edith Grossman|10/12/2004
Vintage Espanol|766|Gabriel García Márquez|10/19/2004
Vintage Books USA|771|Brian Greene|9/2/2004
Wisdom Publications|775|Upasika Kee Nanayon/Thanissaro Bhikkhu|5/15/2005
Rough Guides|787|Rob Humphreys/Beth Chaplin/Rebecca Morrill|4/1/2006
Lonely Planet|793|Lonely Planet/Sarah Johnstone/Steve Fallon|9/1/2004
Geoplaneta|797|Lonely Planet/Sarah Johnstone/Tom Masters|5/1/2006
Lonely Planet|799|Lonely Planet/Mark Honan|9/1/2001
Mariner Books|815|H.G. Bissinger|4/4/2006
Avon|816|Neal Stephenson|11/1/2002
Payot|821|Neal Stephenson|3/31/2001
William Morrow Paperbacks|822|Neal Stephenson|6/14/2005
HarperCollins Perennial|823|Neal Stephenson|9/21/2004
Spectra Books|824|Neal Stephenson/J. Frederick George|5/31/2005
William Morrow Paperbacks|826|Neal Stephenson|2/6/2001
Spectra|827|Neal Stephenson/Pedro Jorge Romero|5/2/2000
Spectra|828|Neal Stephenson/George F. Jewsbury/Stephen  Bury|5/31/2005
HarperTorch|829|Neal Stephenson|3/28/2006
Bantam Books|830|Neal Stephenson/Guy Abadia|8/2/2000
Two Plus Two Publishing LLC|834|Dan Harrington/Bill Robertie|6/1/2005
Two Plus Two Publishing LLC|835|Dan Harrington/Bill Robertie|12/1/2004
Basic Books|840|Donald A. Norman|9/19/2002
Basic Books|841|Donald A. Norman|5/11/2005
Basic Books|842|Donald A. Norman|6/13/1988
Ignatius Press|848|Alex C. Jones/Diane M. Hanson/Stephen K. Ray|4/30/2006
HarperOne|864|Paulo Coelho/Alan R. Clarke/James Noel Smith|5/2/2006
HarperCollins|865|Paulo Coelho/Alan R. Clarke/Özdemir İnce|5/1/1993
VIZ Media LLC|866|Hiromu Arakawa/Akira Watanabe|9/19/2006
VIZ Media LLC|868|Hiromu Arakawa/Akira Watanabe|9/13/2005
VIZ Media LLC|869|Hiromu Arakawa/Akira Watanabe|7/18/2006
VIZ Media LLC|870|Hiromu Arakawa/Akira Watanabe|5/3/2005
VIZ Media LLC|871|Hiromu Arakawa/Akira Watanabe|11/8/2005
HarperCollins Publishers|872|Paulo Coelho/Alan R. Clarke/Mœbius|11/1/1998
VIZ Media LLC|873|Hiromu Arakawa/Akira Watanabe|7/5/2005
Random House Trade Paperbacks|880|Robert   Harris|11/8/2005
Borgo Press|888|Edward Bulwer-Lytton/John Gregory Betancourt|12/3/2002
Penguin Books|890|John Steinbeck|1/8/2002
It Books|900|Neil Strauss|9/6/2005
Puffin|902|Ellen Raskin|4/12/2004
Turtleback Books|903|Zilpha Keatley Snyder|7/7/2009
Vintage Books USA|929|Arthur Golden|11/22/2005
Random House Large Print Publishing|930|Arthur Golden|11/15/2005
Vintage|931|Arthur Golden|12/1/2005
Newmarket Press|932|David        James/Peggy Mulloy/Rob Marshall/Arthur Golden|10/20/2005
Vintage|933|Arthur Golden|6/4/1998
Pocket Books|935|Mineko Iwasaki/Rande Brown|5/6/2003
Oni Press|941|J. Torres/Eric  Kim|2/1/2006
Cambridge University Press|944|Margaret Johnson/Philip Prowse|8/1/2002
Moody Publishers|955|Gary Chapman|1/1/2005
Pocket Books|960|Dan Brown|4/1/2006
Umbriel|965|Dan Brown|12/1/2005
FonoLibro|966|Dan Brown/Raúl Amundaray|12/1/2005
Anchor|968|Dan Brown|3/28/2006
Broadway Books|969|Dan Brown|3/28/2006
Pocket|972|Dan Brown/Daniel Roche|5/3/2005
Pocket Books|975|Dan Brown|4/1/2006
Corgi Books|977|Dan Brown|5/1/2004
Bantam Press|980|Dan Brown|8/1/2005
Pinnacle|987|P.J. Parrish|2/1/2005
Gallery Books|998|Thomas J. Stanley/William D. Danko|10/1/1998
Tarcherperigee|1005|Napoleon Hill|9/1/2005
High Roads Media|1007|Napoleon Hill|8/7/2004
Pragmatic Bookshelf|1014|Mike   Mason|6/7/2006
Firebrand Books|1022|Riki Anne Wilchins|6/1/2005
Ballantine Books|1032|Donald J. Trump/Tony Schwartz|12/28/2004
Berkley Books|1052|George S. Clason|2/1/2008
Recorded Books  Inc.|1053|George S. Clason|6/17/2005
Broadway Books|1059|Trevanian/Gisela Stege|5/10/2005
Simon  Schuster|1067|David McCullough|7/4/2006
Penguin Books|1068|Peter  Stone/Sherman Edwards|11/18/1976
University of Chicago Press|1073|Robert J. Allison|7/15/2000
Howard Publishing Co|1078|Pearl S. Buck|3/4/2009
Zondervan|1090|Rick Warren|3/15/2005
Harper Perennial|1097|Eric Schlosser|7/5/2005
Penguin Books|1099|Eric Schlosser|4/4/2002
Random House|1103|Lisa See|2/21/2006
Delta|1110|John Grisham|9/26/2006
Vintage|1111|Robert A. Caro|7/12/1975
Ballantine Books|1117|Stephen W. Frey|7/25/2006
HarperCollins Publishers  Inc.|1120|Bill Phillips/Michael D'Orso|6/10/1999
Rodale Books|1121|Pamela Peeke/Cindy Crawford|4/1/2005
High Point Media|1123|Bill Phillips|11/26/2003
John Wiley & Sons|1130|Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher|10/1/2005
Wiley|1138|Robert P. Miles/Tom Osborne|4/18/2003
B Books|1164|Marvin N. Olasky/John R. Perry|5/15/2005
Random House Books for Young Readers|1167|Barbara Park/Denise Brunkus|2/16/1993
Red Dress Ink|1169|Sarah Mlynowski|9/24/2004
Penguin Books|1171|Michael   Lewis|10/1/1990
Walker & Company|1177|Frank McConnell|6/1/1993
Ryland Peters & Small|1188|Ursula Ferrigno/Jason Lowe/Maxine  Clark|3/1/2001
Clarkson Potter|1191|Giada De Laurentiis/Victoria Pearson|4/4/2006
Clarkson Potter|1192|Giada De Laurentiis|2/22/2005
Clarkson Potter|1193|Giada De Laurentiis/Victoria Pearson|4/3/2007
Clarkson Potter|1196|Tyler Florence/Petrina Tinslay|9/26/2006
Clarkson Potter Publishers|1197|Tyler Florence/JoAnn Cianciulli/Bill Bettencourt/Bobby Flay|3/25/2003
Clarkson Potter Publishers|1198|Tyler Florence/Petrina Tinslay|10/1/2004
William Morrow|1202|Steven D. Levitt/Stephen J. Dubner|10/17/2006
Ediciones B|1204|Steven D. Levitt/Stephen J. Dubner|8/1/2006
Harper|1206|Steven D. Levitt/Stephen J. Dubner|12/8/2006
Putnam Publishing Group|1218|Barry Eisler|6/1/2006
Mariner Books / Harvest Books|1226|Yann Martel|5/3/2004
Gallimard|1230|Yann Martel/Nicole Martel/Emile Martel|11/24/2005
Penguin Books|1234|Robert Templer|9/1/1999
Anchor Books|1241|James Frey|9/22/2005
Lulu.com|1242|Python Bonkers|2/10/2006
William Morrow Paperbacks|1243|James Pinocchio/Pablo Fenjves|3/28/2006
Jossey-Bass|1246|James M. Kouzes/Barry Z. Posner|8/7/2003
Business Plus|1252|Donald T. Phillips|2/1/1993
Prentice Hall|1255|Gary Yukl|7/7/2005
Little  Brown|1265|Rudolph W. Giuliani|10/1/2002
Harper Paperbacks|1274|John Gray|4/3/2012
Harper|1276|John Gray|10/21/1998
HarperAudio|1281|John Gray|4/3/2007
Prentice Hall Press|1290|Ron  Louis/David Copeland|10/29/1998
Bantam|1295|Jean M. Auel|6/25/2002
Crown Publishing Group|1296|Jean M. Auel|5/4/1980
W. W. Norton  Company|1301|Michael   Lewis|3/17/2004
BradyGames|1302|Doug Walsh|6/1/2005
Penguin (Business)|1303|Robert Greene/Joost Elffers|9/1/2000
Bantam|1305|Steven Pressfield|9/27/2005
Spectra Books|1307|Margaret Weis/Tracy Hickman|3/1/1992
Tor Classics|1312|Thomas Harlan|6/18/2001
Doubleday Books|1315|Steven Pressfield|7/1/2006
Bantam|1317|Steven Pressfield|8/28/2001
Bantam|1318|Steven Pressfield|7/1/2003
Warner Books|1319|Steven Pressfield/Robert McKee|4/1/2003
Continuum|1320|Stephen J. Rosen/Steven Pressfield|5/30/2002
Stackpole Books|1322|David J. Danelo/Steven Pressfield|4/24/2006
Penguin Classics|1326|Plato/Walter Hamilton|1/30/1973
Oxford University Press  USA|1327|Plato/Robin Waterfield|1/16/2003
Penguin Classics|1328|Plato/C.J. Rowe|8/25/2005
Prometheus Books|1334|Plato/Benjamin Jowett|12/1/1991
St. Augustines Press|1337|Josef Pieper/Richard Winston/Clara Winston|2/11/2019
Hackett Publishing Company  Inc.|1338|Plato/C.D.C. Reeve|6/15/2006
Cornell University Press|1342|Plato/James H. Nichols Jr.|9/1/1998
Hackett Publishing Company  Inc.|1351|Plato/C.J. Rowe|3/15/1999
Penguin Classics|1354|Plato/Walter Hamilton/Chris Emlyn-Jones|1/29/2004
Penguin Books|1362|Herodotus/Aubrey de Sélincourt/John M. Marincola|1/30/2003
Penguin Classics|1363|Herodotus/Aubrey de Sélincourt/John M. Marincola|9/1/1954
Prometheus Books|1364|Herodotus/Henry Francis Cary|11/1/1992
Oxford University Press|1365|Herodotus/Carolyn Dewald/Robin Waterfield|11/19/1998
Penguin Classics|1366|Herodotus/Aubrey de Sélincourt/Andrew Robert Burn|8/30/1970
W.W. Norton & Company|1367|Herodotus/Jennifer Tolbert Roberts/Walter Blanco|1/17/1992
Everyman's Library 234|1368|Herodotus/Edward Henry Blakeney/George Rawlinson/Rosalind Thomas|3/25/1997
University of Chicago Press|1369|Herodotus/Peter Grene|3/14/1987
Penguin Classics|1371|Homer/Robert Fagles/Bernard Knox|4/29/1999
Hackett Publishing Company  Inc.|1373|Homer/Stanley Lombardo/Sheila Murnaghan|3/12/1997
Farrar  Straus and Giroux|1374|Homer/Robert Fitzgerald/Andrew Ford|4/3/2004
Penguin Classics|1375|Homer/Robert Fagles/Bernard Knox|11/1/1999
Penguin Classics|1376|Homer/E.V. Rieu/Peter Jones/D.C.H. Rieu|1/30/2003
Signet Classics|1377|Homer/W.H.D. Rouse|8/1/1999
Hackett Publishing Company  Inc.|1378|Homer/Sheila Murnaghan/Stanley Lombardo|9/15/2000
Penguin Classics|1381|Homer/Robert Fagles/Bernard Knox|11/30/2006
Farrar  Straus and Giroux|1382|Homer/Robert Fitzgerald/D.S. Carne-Ross|11/5/1998
Harper Perennial|1383|Homer/Richmond Lattimore|6/1/1999
Penguin Classics|1384|Homer/E.V. Rieu/Peter Jones/D.C.H. Rieu|1/30/2003
Signet Classics|1387|Homer/W.H.D. Rouse|8/1/1999
Bolchazy-Carducci Publishers|1391|Virgil/Barbara Weiden Boyd|1/1/2001
Harvard University Press|1402|Virgil/Henry Rushton Fairclough/G.P. Goold|10/1/1999
Atelos Press|1403|Ed Roberson|1/30/2006
Oxford University Press|1405|Virgil/Cecil Day-Lewis|9/2/1999
Harvard Common Press|1408|Paul  Kirk|12/3/1997
Viking|1417|William Shakespeare/Stephen Orgel/A.R. Braunmuller|11/7/2002
Gramercy|1419|William Shakespeare|10/13/1991
Cambridge University Press|1420|William Shakespeare/Harold Bloom/Rex Gibson|8/1/2005
Applause Books|1423|Reduced Shakespeare Company/Adam Long/Daniel Singer/Jess Winfield|2/1/1994
HarperOne|1424|Paulo Coelho/Alan R. Clarke|5/1/1995
HarperOne|1425|Paulo Coelho/Alan R. Clarke|9/28/1996
HarperOne|1426|Paulo Coelho|3/30/2004
HarperOne|1427|Paulo Coelho/Margaret Jull Costa|7/3/2006
HarperOne|1428|Paulo Coelho/Alan R. Clarke|5/23/2006
HarperOne|1429|Paulo Coelho/Clifford E. Landers|4/26/2000
Harper Perennial|1431|Paulo Coelho/Margaret Jull Costa/Kâmuran Şipal|6/1/2006
Penguin Books|1433|William Shakespeare/Stephen Orgel/A.R. Braunmuller|12/1/2001
Cliffs Notes|1437|Carla Lynn Stockton|5/30/2000
Cliffs Notes|1438|William Shakespeare/Terri Mategrano|5/29/2000
