hr_name|hr_bookID
Karen  O'Connor/Larry J. Sabato|1664
Ernesto Sabato|1667
Augustine of Hippo/John E. Rotelle/Maria Boulding|1681
Augustine of Hippo/Thomas Merton/Marcus Dods|1684
Augustine of Hippo/Bruce Harbert/John E. Rotelle|1685
Peter R.L. Brown|1686
Augustine of Hippo/D.W. Robertson Jr.|1693
Augustine of Hippo/Peter R.L. Brown/Frank Sheed|1698
Garry Wills|1702
Henry Chadwick|1703
Augustine of Hippo/Boniface Ramsey/Edmund Hill|1707
Anthony Bourdain|1709
Anthony Bourdain|1710
Ovid/Allen Mandelbaum|1713
Ovid/David Raeburn/Denis Feeney|1715
Ovid/Bernard Knox/Charles    Martin|1718
Ovid/William Scovil Anderson|1720
Ovid/William Scovil Anderson|1721
Norma Goldman/Jacob E. Nyenhuis|1722
Ovid/J.H. Mozley/G.P. Goold|1725
Ovid/Peter Green|1728
Ovid/Frank Justus Miller|1729
Ovid/Frank Justus Miller|1730
Norma Goldman/Michael  Rossi|1731
Michael C.J. Putnam|1744
Charles Segal|1750
Sophocles/Reginald Gibbons/Charles Segal|1752
Sophocles/Reginald Gibbons/Charles Segal|1761
Richard Johnsonbaugh/Martin Kalin|1771
Homer/Robert Fitzgerald|1796
Simon Goldhill|1800
Simon Goldhill|1801
Simon Goldhill|1804
Simon Goldhill|1805
Daniel Pinchbeck|1814
Daniel Pinchbeck/Lee Fukui|1815
Jon Ronson|1823
Jon Ronson|1824
Jared Diamond|1839
Daniel Duane|1843
Jon Krakauer|1845
John Eldredge|1846
Jung Chang|1848
Nelson DeMille|1849
Catherine Coulter|1850
Jack London/Avi|1852
Judy Sierra/Marc Brown|1853
Charles P. Rubenstein|1856
Barbara Ehrenreich|1869
Michel Foucault/Robert Hurley|1877
Michel Foucault/Robert Hurley|1879
Michel Foucault/Robert Hurley|1883
Sue Birtwistle/Sue Conklin/Susie Conklin|1887
Jane Austen|1888
Jane Austen/Vivien Jones|1889
Jane Austen/George Saintsbury/Hugh  Thomson|1891
Jane Austen/Carol Howard|1893
Jon Krakauer|1894
David  Roberts/Jon Krakauer|1896
Jon Krakauer|1898
Valerian Albanov/Jon Krakauer/David  Roberts/Alison Anderson/Валериан Альбанов|1902
Thomas L. Friedman|1911
Thomas L. Friedman|1914
David McClung/Peter Schaerer|1925
Arthur J. Roth|1931
Louisa May Alcott|1934
Louisa May Alcott/Scott McKowen|1935
Louisa May Alcott/Paula Danziger|1936
Louisa May Alcott/Jessie Willcox Smith/Frank T. Merrill|1937
