a_authors|a_authrating
Arthur Conan Doyle/Paul Bachem|4.18
Arthur Conan Doyle/Philip Gooden|3.92
Arthur Edward Waite|3.9
Arthur Golden|4.11
Arthur Herzog III|4.0
Arthur J. Roth|3.65
Arthur Koestler|4.058
Arthur Koestler/Daphne Hardy|4.04
Arthur Koestler/Herbert Butterfield|4.25
Arthur Nersesian|3.55
Arthur Plotnik|3.9
Arthur Schopenhauer/Judith Norman/E.F.J. Payne/Alistair Welchman/Christropher Janaway|4.19
Arthur Schopenhauer/Konstantin Kolenda|4.15
Arthur Schopenhauer/R.J. Hollingdale|4.17
Arthur Schopenhauer/Thomas Bailey Saunders|4.14
Arthur Yorinks/Raymond Jafelice|2.75
Arturo Pérez-Reverte|4.16
Arturo Pérez-Reverte/Margaret Jull Costa|3.79
Arturo Pérez-Reverte/Margaret Sayers Peden|3.75
Arturo Pérez-Reverte/Sonia Soto|3.68
Arundhati Roy|3.94
Ashley Gardner|4.04
Ashley Shannon|4.05
Astrid Lindgren/Blanca Ríos/Richard Kennedy|4.13
Astrid Lindgren/Florence Lamborn/Louis S. Glanzman|4.13
Astrid Lindgren/Florence Lamborn/Nancy Seligsohn|4.12
Astrid Lindgren/Gerry Bothmer|4.11
Astrid Lindgren/Harald Wiberg|4.24
Astrid Lindgren/Ilon Wikland/Florence Lamborn|4.25666666666667
Astrid Lindgren/Ilon Wikland/Jill M. Morgan|4.36
Astrid Lindgren/Patricia Crampton|4.3
Astrid Lindgren/Robin Preiss Glasser|3.98
Astrid Lindgren/Tony Ross|4.25
Atul Gawande/Susanne Kuhlmann-Krieg|4.26
Audre Lorde|4.49
Audrey Niffenegger|3.65
Audrey Niffenegger/Silvia Alemany|3.97
Audrey Niffenegger/William Hope/Laurel Lefkow|3.97
Audrey Penn/Ruth E. Harper/Nancy M. Leak|4.43
Augusten Burroughs|3.835
Augustine of Hippo|4.515
Augustine of Hippo/Boniface Ramsey/Edmund Hill|3.94
Augustine of Hippo/Boniface Ramsey/Michael Fiedrowicz|4.08
Augustine of Hippo/Bruce Harbert/John E. Rotelle|4.04
